Mean TemperatureC,Max TemperatureC_1_days_before,Mean TemperatureC_1_days_before,Min TemperatureC_1_days_before,Dew PointC_1_days_before,MeanDew PointC_1_days_before,Min DewpointC_1_days_before,Max Humidity_1_days_before, Mean Humidity_1_days_before, Min Humidity_1_days_before, Max Sea Level PressurehPa_1_days_before, Mean Sea Level PressurehPa_1_days_before, Min Sea Level PressurehPa_1_days_before, Max VisibilityKm_1_days_before, Mean VisibilityKm_1_days_before, Min VisibilitykM_1_days_before, Max Wind SpeedKm/h_1_days_before, Mean Wind SpeedKm/h_1_days_before,Precipitationmm_1_days_before
-2,15.0,8.0,1.0,54.0,32.0,15.0,87.0,59.0,31.0,1032.0,1019.0,1009.0,16.0,16.0,6.0,34.0,16.0,0.0
2,2.0,-2.0,-6.0,15.0,8.0,2.0,50.0,38.0,26.0,1043.0,1039.0,1033.0,16.0,16.0,16.0,27.0,11.0,0.0
8,9.0,2.0,-6.0,29.0,11.0,4.0,68.0,43.0,17.0,1038.0,1034.0,1028.0,16.0,16.0,16.0,21.0,8.0,0.0
17,12.0,8.0,4.0,51.0,45.0,30.0,93.0,75.0,57.0,1027.0,1023.0,1020.0,16.0,3.0,2.0,19.0,2.0,4.0
18,21.0,17.0,12.0,60.0,55.0,50.0,93.0,80.0,66.0,1022.0,1020.0,1016.0,16.0,6.0,0.0,19.0,5.0,0.0
17,22.0,18.0,14.0,64.0,61.0,54.0,93.0,81.0,68.0,1015.0,1012.0,1007.0,16.0,13.0,2.0,21.0,10.0,3.0
14,24.0,17.0,9.0,54.0,37.0,20.0,93.0,53.0,13.0,1021.0,1018.0,1012.0,16.0,14.0,8.0,19.0,5.0,0.0
14,19.0,14.0,8.0,58.0,47.0,33.0,84.0,68.0,52.0,1020.0,1016.0,1013.0,16.0,16.0,16.0,24.0,6.0,0.0
14,22.0,14.0,6.0,60.0,36.0,17.0,87.0,51.0,14.0,1021.0,1016.0,1011.0,16.0,14.0,11.0,27.0,11.0,0.0
11,24.0,14.0,3.0,31.0,25.0,20.0,70.0,41.0,12.0,1027.0,1020.0,1016.0,16.0,16.0,16.0,26.0,8.0,0.0
13,18.0,11.0,4.0,29.0,23.0,16.0,49.0,35.0,21.0,1032.0,1027.0,1022.0,16.0,16.0,16.0,23.0,6.0,0.0
12,22.0,13.0,4.0,31.0,27.0,23.0,55.0,38.0,20.0,1023.0,1020.0,1018.0,16.0,16.0,16.0,23.0,6.0,0.0
12,18.0,12.0,6.0,31.0,20.0,15.0,45.0,31.0,17.0,1028.0,1026.0,1023.0,16.0,16.0,14.0,23.0,8.0,0.0
15,21.0,12.0,3.0,41.0,33.0,23.0,59.0,45.0,31.0,1025.0,1022.0,1019.0,16.0,16.0,16.0,19.0,3.0,0.0
18,22.0,15.0,7.0,41.0,30.0,18.0,64.0,39.0,14.0,1028.0,1023.0,1020.0,16.0,16.0,16.0,14.0,5.0,0.0
11,28.0,18.0,8.0,51.0,36.0,23.0,71.0,44.0,17.0,1021.0,1016.0,1011.0,16.0,16.0,16.0,26.0,8.0,0.0
12,17.0,11.0,3.0,28.0,23.0,19.0,59.0,39.0,19.0,1030.0,1026.0,1022.0,16.0,16.0,16.0,24.0,10.0,0.0
6,21.0,12.0,3.0,39.0,27.0,24.0,70.0,45.0,19.0,1024.0,1020.0,1016.0,16.0,16.0,16.0,19.0,6.0,0.0
1,13.0,6.0,-3.0,42.0,29.0,20.0,78.0,64.0,50.0,1041.0,1032.0,1018.0,16.0,13.0,3.0,32.0,14.0,2.0
9,4.0,1.0,-3.0,22.0,17.0,10.0,81.0,60.0,39.0,1042.0,1037.0,1029.0,16.0,14.0,5.0,26.0,8.0,1.0
16,21.0,9.0,-3.0,38.0,27.0,22.0,85.0,53.0,20.0,1029.0,1022.0,1017.0,16.0,16.0,13.0,13.0,2.0,0.0
8,24.0,16.0,6.0,45.0,39.0,33.0,76.0,52.0,27.0,1016.0,1010.0,1005.0,16.0,16.0,16.0,19.0,5.0,0.0
1,16.0,8.0,1.0,43.0,23.0,5.0,66.0,44.0,21.0,1025.0,1019.0,1009.0,16.0,16.0,16.0,34.0,14.0,1.0
3,4.0,1.0,-3.0,19.0,14.0,7.0,69.0,48.0,27.0,1033.0,1029.0,1025.0,16.0,16.0,16.0,24.0,10.0,1.0
9,9.0,3.0,-3.0,19.0,13.0,9.0,63.0,42.0,21.0,1034.0,1030.0,1026.0,16.0,16.0,16.0,24.0,8.0,0.0
20,18.0,9.0,-1.0,51.0,36.0,20.0,80.0,64.0,48.0,1025.0,1018.0,1013.0,16.0,16.0,16.0,24.0,11.0,0.0
19,27.0,20.0,13.0,59.0,54.0,51.0,86.0,64.0,42.0,1015.0,1012.0,1009.0,16.0,16.0,14.0,23.0,14.0,0.0
7,24.0,19.0,13.0,62.0,59.0,41.0,81.0,71.0,60.0,1013.0,1009.0,1007.0,16.0,16.0,14.0,23.0,10.0,0.0
4,13.0,7.0,2.0,40.0,33.0,27.0,79.0,69.0,59.0,1025.0,1019.0,1013.0,16.0,13.0,6.0,29.0,18.0,1.0
12,8.0,4.0,1.0,38.0,33.0,28.0,82.0,74.0,65.0,1025.0,1022.0,1015.0,16.0,10.0,5.0,21.0,10.0,0.0
4,18.0,12.0,6.0,45.0,41.0,39.0,89.0,68.0,46.0,1020.0,1014.0,1012.0,16.0,10.0,3.0,16.0,3.0,4.0
-2,9.0,4.0,-1.0,42.0,26.0,16.0,80.0,60.0,39.0,1033.0,1028.0,1020.0,16.0,16.0,16.0,26.0,16.0,0.0
1,0.0,-2.0,-3.0,17.0,15.0,13.0,58.0,54.0,49.0,1035.0,1032.0,1030.0,16.0,16.0,16.0,24.0,13.0,0.0
11,3.0,1.0,-2.0,29.0,24.0,17.0,78.0,68.0,58.0,1030.0,1027.0,1024.0,16.0,11.0,3.0,13.0,5.0,0.0
15,18.0,11.0,3.0,42.0,36.0,29.0,85.0,63.0,40.0,1025.0,1022.0,1017.0,16.0,11.0,5.0,23.0,8.0,0.0
9,24.0,15.0,5.0,53.0,45.0,38.0,96.0,70.0,44.0,1020.0,1018.0,1014.0,16.0,8.0,0.0,21.0,6.0,0.0
2,16.0,9.0,2.0,49.0,36.0,30.0,82.0,74.0,66.0,1024.0,1021.0,1017.0,16.0,13.0,6.0,24.0,14.0,0.0
7,2.0,2.0,1.0,31.0,29.0,27.0,89.0,80.0,70.0,1026.0,1024.0,1022.0,14.0,8.0,2.0,24.0,14.0,3.0
11,14.0,7.0,1.0,34.0,29.0,27.0,75.0,57.0,38.0,1025.0,1022.0,1019.0,16.0,14.0,11.0,23.0,8.0,0.0
19,21.0,11.0,0.0,38.0,34.0,28.0,85.0,58.0,30.0,1020.0,1017.0,1014.0,16.0,16.0,16.0,16.0,6.0,0.0
15,30.0,19.0,8.0,48.0,37.0,22.0,86.0,51.0,15.0,1019.0,1014.0,1011.0,16.0,16.0,13.0,29.0,10.0,0.0
20,24.0,15.0,6.0,52.0,35.0,22.0,64.0,43.0,22.0,1022.0,1019.0,1016.0,16.0,16.0,16.0,24.0,8.0,0.0
21,24.0,20.0,15.0,61.0,57.0,53.0,90.0,74.0,57.0,1019.0,1016.0,1014.0,16.0,8.0,0.0,21.0,8.0,0.0
21,27.0,21.0,14.0,62.0,50.0,29.0,87.0,52.0,17.0,1020.0,1017.0,1013.0,16.0,13.0,3.0,24.0,8.0,0.0
23,28.0,21.0,13.0,63.0,53.0,32.0,78.0,55.0,32.0,1019.0,1016.0,1012.0,16.0,16.0,14.0,21.0,6.0,0.0
21,28.0,23.0,17.0,62.0,60.0,59.0,93.0,70.0,47.0,1014.0,1011.0,1006.0,16.0,14.0,3.0,24.0,11.0,0.0
14,28.0,21.0,14.0,64.0,50.0,27.0,81.0,48.0,15.0,1019.0,1011.0,1006.0,16.0,14.0,11.0,26.0,13.0,0.0
17,22.0,14.0,5.0,33.0,27.0,22.0,67.0,43.0,19.0,1023.0,1020.0,1017.0,16.0,16.0,16.0,23.0,8.0,0.0
23,25.0,17.0,9.0,57.0,46.0,30.0,73.0,53.0,32.0,1018.0,1015.0,1012.0,16.0,16.0,16.0,23.0,10.0,0.0
19,30.0,23.0,17.0,61.0,56.0,44.0,84.0,57.0,29.0,1018.0,1014.0,1012.0,16.0,16.0,11.0,24.0,6.0,0.0
17,24.0,19.0,13.0,63.0,51.0,43.0,81.0,65.0,49.0,1019.0,1017.0,1016.0,16.0,14.0,8.0,19.0,6.0,0.0
7,22.0,17.0,11.0,65.0,60.0,47.0,93.0,85.0,77.0,1018.0,1016.0,1014.0,16.0,6.0,2.0,19.0,8.0,0.0
7,11.0,7.0,2.0,46.0,33.0,21.0,83.0,63.0,43.0,1025.0,1022.0,1018.0,16.0,13.0,3.0,32.0,13.0,3.0
17,15.0,7.0,-1.0,32.0,27.0,21.0,82.0,56.0,29.0,1023.0,1019.0,1014.0,16.0,16.0,16.0,19.0,5.0,0.0
20,27.0,17.0,7.0,50.0,46.0,35.0,83.0,60.0,37.0,1013.0,1011.0,1007.0,16.0,16.0,11.0,21.0,10.0,0.0
11,28.0,20.0,12.0,65.0,57.0,48.0,93.0,74.0,54.0,1017.0,1014.0,1012.0,16.0,11.0,0.0,26.0,8.0,0.0
2,23.0,11.0,-2.0,67.0,45.0,20.0,89.0,79.0,69.0,1026.0,1018.0,1012.0,16.0,13.0,3.0,32.0,16.0,2.0
4,8.0,2.0,-4.0,27.0,20.0,12.0,75.0,56.0,37.0,1031.0,1027.0,1024.0,16.0,14.0,6.0,29.0,16.0,2.0
8,10.0,4.0,-1.0,36.0,31.0,26.0,92.0,72.0,52.0,1026.0,1022.0,1018.0,16.0,13.0,3.0,14.0,6.0,4.0
12,12.0,8.0,3.0,43.0,39.0,35.0,86.0,76.0,66.0,1022.0,1018.0,1016.0,16.0,11.0,6.0,21.0,5.0,0.0
12,18.0,12.0,6.0,42.0,38.0,35.0,89.0,62.0,34.0,1025.0,1022.0,1019.0,16.0,13.0,6.0,21.0,6.0,0.0
11,19.0,12.0,4.0,50.0,42.0,36.0,86.0,65.0,44.0,1019.0,1016.0,1012.0,16.0,14.0,8.0,26.0,10.0,0.0
9,15.0,11.0,7.0,57.0,49.0,39.0,93.0,88.0,83.0,1026.0,1019.0,1013.0,16.0,5.0,2.0,23.0,6.0,19.0
16,14.0,9.0,4.0,45.0,39.0,31.0,86.0,71.0,55.0,1028.0,1026.0,1023.0,16.0,14.0,3.0,24.0,8.0,3.0
21,22.0,16.0,10.0,56.0,51.0,45.0,84.0,69.0,53.0,1024.0,1019.0,1014.0,16.0,14.0,6.0,19.0,5.0,0.0
16,28.0,21.0,13.0,56.0,54.0,52.0,93.0,66.0,39.0,1014.0,1008.0,1002.0,16.0,14.0,6.0,23.0,8.0,0.0
11,21.0,16.0,9.0,50.0,28.0,16.0,56.0,36.0,16.0,1026.0,1020.0,1007.0,16.0,16.0,16.0,39.0,18.0,0.0
17,20.0,11.0,3.0,40.0,26.0,20.0,68.0,35.0,21.0,1028.0,1025.0,1020.0,16.0,16.0,16.0,14.0,6.0,0.0
20,24.0,17.0,9.0,59.0,51.0,43.0,86.0,68.0,49.0,1020.0,1017.0,1014.0,16.0,16.0,16.0,21.0,8.0,0.0
13,23.0,20.0,17.0,64.0,62.0,59.0,93.0,81.0,68.0,1015.0,1011.0,1005.0,16.0,8.0,0.0,19.0,6.0,2.0
13,18.0,13.0,9.0,58.0,45.0,32.0,93.0,66.0,39.0,1018.0,1013.0,1006.0,16.0,16.0,16.0,39.0,18.0,0.0
18,20.0,13.0,5.0,31.0,26.0,20.0,53.0,36.0,18.0,1018.0,1014.0,1008.0,16.0,16.0,16.0,26.0,10.0,0.0
17,28.0,18.0,8.0,56.0,42.0,31.0,73.0,49.0,24.0,1010.0,1007.0,1005.0,16.0,16.0,16.0,29.0,13.0,0.0
15,22.0,17.0,11.0,55.0,37.0,28.0,80.0,52.0,24.0,1023.0,1018.0,1012.0,16.0,14.0,10.0,24.0,10.0,0.0
19,24.0,15.0,6.0,40.0,36.0,31.0,82.0,52.0,21.0,1024.0,1021.0,1017.0,16.0,16.0,16.0,16.0,3.0,0.0
21,27.0,19.0,12.0,60.0,54.0,41.0,93.0,69.0,45.0,1017.0,1014.0,1010.0,16.0,13.0,0.0,27.0,11.0,0.0
12,25.0,21.0,16.0,65.0,62.0,51.0,100.0,80.0,60.0,1017.0,1014.0,1012.0,16.0,11.0,2.0,19.0,6.0,0.0
14,16.0,12.0,8.0,51.0,43.0,36.0,72.0,62.0,51.0,1025.0,1022.0,1018.0,16.0,16.0,14.0,27.0,14.0,0.0
14,19.0,14.0,10.0,47.0,42.0,38.0,72.0,58.0,44.0,1024.0,1021.0,1017.0,16.0,16.0,16.0,16.0,5.0,0.0
16,21.0,14.0,7.0,46.0,38.0,31.0,93.0,61.0,28.0,1028.0,1024.0,1021.0,16.0,16.0,11.0,24.0,8.0,0.0
22,19.0,16.0,12.0,55.0,47.0,30.0,78.0,57.0,36.0,1023.0,1019.0,1014.0,16.0,16.0,10.0,35.0,16.0,0.0
24,28.0,22.0,16.0,68.0,63.0,56.0,100.0,78.0,55.0,1014.0,1010.0,1007.0,16.0,11.0,2.0,26.0,13.0,0.0
18,32.0,24.0,17.0,67.0,61.0,49.0,90.0,64.0,37.0,1016.0,1009.0,1006.0,16.0,13.0,3.0,29.0,8.0,0.0
17,25.0,18.0,11.0,48.0,40.0,30.0,68.0,43.0,18.0,1025.0,1022.0,1017.0,16.0,16.0,16.0,21.0,8.0,0.0
23,26.0,17.0,7.0,51.0,43.0,38.0,83.0,56.0,29.0,1023.0,1020.0,1016.0,16.0,16.0,16.0,32.0,13.0,0.0
24,29.0,23.0,16.0,62.0,57.0,53.0,90.0,65.0,40.0,1016.0,1014.0,1010.0,16.0,16.0,16.0,26.0,14.0,0.0
24,30.0,24.0,19.0,67.0,64.0,62.0,93.0,71.0,48.0,1016.0,1013.0,1010.0,16.0,13.0,6.0,27.0,13.0,0.0
25,28.0,24.0,21.0,69.0,67.0,63.0,97.0,78.0,58.0,1013.0,1009.0,1005.0,16.0,14.0,6.0,26.0,14.0,0.0
18,28.0,25.0,22.0,69.0,67.0,66.0,90.0,74.0,58.0,1009.0,1007.0,1004.0,16.0,13.0,8.0,23.0,11.0,0.0
16,23.0,18.0,12.0,69.0,35.0,28.0,93.0,58.0,22.0,1021.0,1017.0,1010.0,16.0,16.0,8.0,27.0,13.0,0.0
14,18.0,16.0,12.0,46.0,38.0,33.0,60.0,48.0,36.0,1019.0,1016.0,1012.0,16.0,16.0,16.0,16.0,6.0,0.0
17,16.0,14.0,11.0,51.0,49.0,45.0,96.0,76.0,55.0,1012.0,1009.0,1007.0,16.0,11.0,3.0,19.0,8.0,5.0
18,22.0,17.0,11.0,51.0,49.0,47.0,93.0,69.0,44.0,1018.0,1013.0,1010.0,16.0,14.0,3.0,40.0,5.0,7.0
18,25.0,18.0,10.0,50.0,38.0,27.0,96.0,57.0,18.0,1023.0,1021.0,1018.0,16.0,16.0,16.0,35.0,13.0,0.0
22,29.0,18.0,7.0,51.0,42.0,37.0,77.0,51.0,24.0,1025.0,1022.0,1018.0,16.0,16.0,16.0,21.0,10.0,0.0
23,31.0,22.0,14.0,59.0,53.0,48.0,90.0,59.0,27.0,1020.0,1016.0,1013.0,16.0,16.0,16.0,27.0,16.0,0.0
24,29.0,23.0,16.0,61.0,59.0,56.0,90.0,65.0,40.0,1017.0,1015.0,1012.0,16.0,16.0,11.0,26.0,13.0,0.0
23,29.0,24.0,18.0,63.0,62.0,60.0,87.0,66.0,44.0,1016.0,1013.0,1009.0,16.0,16.0,14.0,32.0,16.0,0.0
14,26.0,23.0,20.0,68.0,66.0,61.0,90.0,79.0,67.0,1011.0,1008.0,1003.0,16.0,14.0,13.0,29.0,11.0,0.0
11,23.0,14.0,6.0,69.0,46.0,32.0,90.0,65.0,39.0,1025.0,1015.0,1005.0,16.0,13.0,0.0,35.0,16.0,34.0
14,18.0,11.0,4.0,32.0,25.0,16.0,59.0,39.0,19.0,1029.0,1025.0,1021.0,16.0,16.0,16.0,19.0,6.0,0.0
17,23.0,14.0,4.0,48.0,40.0,31.0,76.0,56.0,35.0,1021.0,1018.0,1014.0,16.0,16.0,16.0,26.0,11.0,0.0
21,19.0,17.0,13.0,61.0,57.0,49.0,97.0,85.0,72.0,1022.0,1019.0,1016.0,16.0,11.0,2.0,16.0,6.0,2.0
19,26.0,21.0,15.0,61.0,57.0,51.0,93.0,68.0,43.0,1024.0,1022.0,1019.0,16.0,10.0,3.0,14.0,3.0,0.0
20,26.0,19.0,12.0,56.0,54.0,52.0,93.0,68.0,43.0,1022.0,1020.0,1018.0,16.0,14.0,6.0,21.0,8.0,0.0
23,24.0,20.0,16.0,63.0,59.0,55.0,97.0,77.0,57.0,1021.0,1019.0,1017.0,16.0,13.0,3.0,19.0,10.0,0.0
24,29.0,23.0,18.0,65.0,63.0,57.0,93.0,72.0,51.0,1018.0,1016.0,1013.0,16.0,14.0,3.0,23.0,8.0,0.0
23,31.0,24.0,17.0,63.0,58.0,55.0,87.0,61.0,35.0,1017.0,1015.0,1013.0,16.0,16.0,16.0,19.0,5.0,0.0
26,31.0,23.0,15.0,64.0,61.0,57.0,90.0,68.0,46.0,1014.0,1011.0,1007.0,16.0,16.0,16.0,27.0,11.0,0.0
24,31.0,26.0,19.0,66.0,62.0,44.0,87.0,63.0,38.0,1013.0,1010.0,1008.0,16.0,16.0,14.0,26.0,8.0,0.0
25,31.0,24.0,17.0,64.0,54.0,45.0,68.0,51.0,34.0,1016.0,1013.0,1010.0,16.0,16.0,16.0,19.0,10.0,0.0
29,30.0,25.0,20.0,69.0,66.0,62.0,90.0,73.0,55.0,1012.0,1008.0,1004.0,16.0,10.0,3.0,26.0,13.0,0.0
27,36.0,29.0,23.0,70.0,66.0,41.0,87.0,51.0,15.0,1003.0,1001.0,997.0,16.0,10.0,5.0,23.0,10.0,0.0
22,34.0,27.0,19.0,69.0,39.0,25.0,67.0,39.0,10.0,1006.0,1003.0,1001.0,16.0,16.0,11.0,23.0,6.0,0.0
19,29.0,22.0,16.0,46.0,34.0,22.0,60.0,36.0,11.0,1015.0,1008.0,1002.0,16.0,16.0,16.0,27.0,11.0,0.0
18,24.0,19.0,14.0,38.0,33.0,31.0,42.0,32.0,21.0,1022.0,1019.0,1015.0,16.0,16.0,16.0,26.0,10.0,0.0
21,25.0,18.0,11.0,43.0,33.0,25.0,63.0,39.0,15.0,1022.0,1020.0,1016.0,16.0,16.0,16.0,16.0,5.0,0.0
24,28.0,21.0,13.0,40.0,35.0,27.0,51.0,33.0,14.0,1019.0,1017.0,1014.0,16.0,16.0,16.0,14.0,5.0,0.0
24,34.0,24.0,14.0,42.0,35.0,26.0,44.0,27.0,10.0,1018.0,1016.0,1014.0,16.0,16.0,16.0,21.0,6.0,0.0
24,33.0,24.0,16.0,42.0,37.0,32.0,37.0,27.0,16.0,1019.0,1017.0,1014.0,16.0,16.0,16.0,23.0,11.0,0.0
24,33.0,24.0,16.0,59.0,56.0,44.0,90.0,61.0,32.0,1016.0,1013.0,1009.0,16.0,16.0,16.0,26.0,13.0,0.0
26,31.0,24.0,18.0,64.0,62.0,57.0,87.0,66.0,45.0,1012.0,1009.0,1006.0,16.0,16.0,16.0,27.0,14.0,0.0
26,31.0,26.0,21.0,67.0,64.0,62.0,84.0,65.0,46.0,1012.0,1009.0,1007.0,16.0,16.0,16.0,29.0,14.0,0.0
24,29.0,26.0,23.0,73.0,70.0,67.0,84.0,75.0,65.0,1012.0,1009.0,1007.0,16.0,10.0,3.0,27.0,13.0,2.0
24,30.0,24.0,19.0,71.0,68.0,58.0,87.0,69.0,50.0,1015.0,1012.0,1008.0,16.0,8.0,2.0,32.0,8.0,2.0
28,33.0,24.0,16.0,66.0,62.0,58.0,97.0,71.0,44.0,1013.0,1010.0,1007.0,16.0,16.0,8.0,26.0,10.0,0.0
22,34.0,28.0,22.0,68.0,67.0,65.0,84.0,63.0,41.0,1010.0,1008.0,1004.0,16.0,14.0,6.0,29.0,16.0,0.0
16,28.0,22.0,17.0,76.0,70.0,61.0,94.0,87.0,79.0,1014.0,1010.0,1007.0,16.0,8.0,0.0,29.0,11.0,62.0
18,19.0,16.0,13.0,60.0,54.0,48.0,93.0,73.0,52.0,1024.0,1019.0,1013.0,16.0,13.0,3.0,26.0,13.0,24.0
18,24.0,18.0,11.0,51.0,43.0,32.0,93.0,57.0,21.0,1026.0,1024.0,1022.0,16.0,16.0,8.0,27.0,11.0,4.0
23,29.0,18.0,8.0,47.0,41.0,33.0,93.0,55.0,17.0,1026.0,1023.0,1020.0,16.0,16.0,16.0,16.0,5.0,0.0
23,30.0,23.0,16.0,48.0,43.0,36.0,60.0,40.0,20.0,1021.0,1018.0,1015.0,16.0,16.0,16.0,24.0,11.0,0.0
23,30.0,23.0,16.0,59.0,55.0,47.0,84.0,58.0,32.0,1017.0,1015.0,1013.0,16.0,16.0,16.0,27.0,14.0,0.0
24,29.0,23.0,17.0,61.0,59.0,57.0,93.0,67.0,40.0,1019.0,1017.0,1015.0,16.0,16.0,13.0,26.0,13.0,0.0
26,30.0,24.0,19.0,64.0,61.0,57.0,87.0,65.0,43.0,1018.0,1016.0,1014.0,16.0,16.0,16.0,29.0,16.0,0.0
27,32.0,26.0,19.0,65.0,62.0,59.0,84.0,63.0,42.0,1019.0,1016.0,1015.0,16.0,16.0,16.0,23.0,14.0,0.0
26,32.0,27.0,21.0,66.0,64.0,61.0,84.0,61.0,38.0,1019.0,1017.0,1015.0,16.0,16.0,16.0,26.0,13.0,0.0
26,31.0,26.0,21.0,68.0,65.0,61.0,90.0,70.0,50.0,1020.0,1018.0,1015.0,16.0,16.0,11.0,24.0,11.0,0.0
26,29.0,26.0,22.0,71.0,67.0,62.0,84.0,69.0,54.0,1019.0,1017.0,1015.0,16.0,13.0,0.0,23.0,10.0,5.0
27,30.0,26.0,21.0,70.0,68.0,66.0,97.0,79.0,61.0,1018.0,1016.0,1012.0,16.0,14.0,11.0,24.0,11.0,5.0
21,31.0,27.0,22.0,67.0,66.0,63.0,84.0,66.0,48.0,1018.0,1015.0,1012.0,16.0,16.0,16.0,24.0,10.0,5.0
20,24.0,21.0,18.0,70.0,65.0,61.0,93.0,83.0,73.0,1019.0,1016.0,1014.0,16.0,13.0,2.0,27.0,8.0,40.0
24,23.0,20.0,17.0,67.0,64.0,61.0,93.0,86.0,79.0,1017.0,1014.0,1011.0,16.0,10.0,0.0,35.0,5.0,44.0
26,29.0,24.0,20.0,68.0,66.0,62.0,97.0,74.0,51.0,1014.0,1012.0,1010.0,16.0,11.0,3.0,23.0,6.0,0.0
27,32.0,26.0,19.0,65.0,63.0,61.0,93.0,66.0,38.0,1012.0,1011.0,1009.0,16.0,16.0,16.0,14.0,3.0,0.0
28,34.0,27.0,20.0,67.0,65.0,60.0,84.0,60.0,36.0,1011.0,1010.0,1008.0,16.0,16.0,16.0,14.0,5.0,0.0
27,34.0,28.0,21.0,69.0,67.0,65.0,84.0,63.0,41.0,1012.0,1011.0,1010.0,16.0,16.0,16.0,16.0,5.0,0.0
28,31.0,27.0,22.0,71.0,69.0,63.0,93.0,69.0,45.0,1015.0,1013.0,1010.0,16.0,13.0,3.0,23.0,6.0,0.0
28,33.0,28.0,23.0,71.0,69.0,67.0,87.0,67.0,47.0,1015.0,1013.0,1011.0,16.0,16.0,13.0,21.0,11.0,0.0
28,32.0,28.0,24.0,72.0,70.0,68.0,82.0,67.0,52.0,1017.0,1015.0,1012.0,16.0,16.0,16.0,16.0,10.0,0.0
28,33.0,28.0,23.0,71.0,70.0,68.0,87.0,70.0,52.0,1014.0,1011.0,1009.0,16.0,16.0,16.0,19.0,11.0,0.0
28,33.0,28.0,23.0,72.0,70.0,68.0,87.0,72.0,56.0,1012.0,1010.0,1008.0,16.0,16.0,16.0,23.0,11.0,0.0
28,33.0,28.0,23.0,71.0,70.0,69.0,87.0,70.0,52.0,1015.0,1012.0,1010.0,16.0,16.0,14.0,23.0,11.0,0.0
28,33.0,28.0,23.0,72.0,70.0,67.0,93.0,71.0,49.0,1015.0,1012.0,1009.0,16.0,16.0,16.0,23.0,11.0,0.0
25,32.0,28.0,24.0,72.0,70.0,64.0,87.0,67.0,46.0,1016.0,1012.0,1008.0,16.0,16.0,8.0,26.0,11.0,0.0
26,30.0,25.0,20.0,75.0,71.0,66.0,91.0,78.0,65.0,1013.0,1009.0,1007.0,16.0,13.0,2.0,23.0,6.0,14.0
27,33.0,26.0,18.0,70.0,61.0,56.0,97.0,64.0,30.0,1013.0,1011.0,1009.0,16.0,16.0,14.0,21.0,5.0,0.0
27,34.0,27.0,19.0,73.0,66.0,62.0,87.0,64.0,41.0,1012.0,1010.0,1007.0,16.0,16.0,16.0,23.0,8.0,0.0
