Mean TemperatureC,Max TemperatureC_1_days_before,Max TemperatureC_2_days_before,Mean TemperatureC_1_days_before,Mean TemperatureC_2_days_before,Min TemperatureC_1_days_before,Min TemperatureC_2_days_before,Dew PointC_1_days_before,Dew PointC_2_days_before,MeanDew PointC_1_days_before,MeanDew PointC_2_days_before,Min DewpointC_1_days_before,Min DewpointC_2_days_before,Max Humidity_1_days_before,Max Humidity_2_days_before, Mean Humidity_1_days_before, Mean Humidity_2_days_before, Min Humidity_1_days_before, Min Humidity_2_days_before, Max Sea Level PressurehPa_1_days_before, Max Sea Level PressurehPa_2_days_before, Mean Sea Level PressurehPa_1_days_before, Mean Sea Level PressurehPa_2_days_before, Min Sea Level PressurehPa_1_days_before, Min Sea Level PressurehPa_2_days_before, Max VisibilityKm_1_days_before, Max VisibilityKm_2_days_before, Mean VisibilityKm_1_days_before, Mean VisibilityKm_2_days_before, Min VisibilitykM_1_days_before, Min VisibilitykM_2_days_before, Max Wind SpeedKm/h_1_days_before, Max Wind SpeedKm/h_2_days_before, Mean Wind SpeedKm/h_1_days_before, Mean Wind SpeedKm/h_2_days_before,Precipitationmm_1_days_before,Precipitationmm_2_days_before,Max TemperatureCtrend_in_last_2_days,Mean TemperatureCtrend_in_last_2_days,Min TemperatureCtrend_in_last_2_days,Dew PointCtrend_in_last_2_days,MeanDew PointCtrend_in_last_2_days,Min DewpointCtrend_in_last_2_days,Max Humiditytrend_in_last_2_days, Mean Humiditytrend_in_last_2_days, Min Humiditytrend_in_last_2_days, Max Sea Level PressurehPatrend_in_last_2_days, Mean Sea Level PressurehPatrend_in_last_2_days, Min Sea Level PressurehPatrend_in_last_2_days, Max VisibilityKmtrend_in_last_2_days, Mean VisibilityKmtrend_in_last_2_days, Min VisibilitykMtrend_in_last_2_days, Max Wind SpeedKm/htrend_in_last_2_days, Mean Wind SpeedKm/htrend_in_last_2_days,Precipitationmmtrend_in_last_2_days
-2,15.0,22.0,8.0,14.0,1.0,6.0,54.0,55.0,32.0,48.0,15.0,38.0,87.0,89.0,59.0,68.0,31.0,47.0,1032.0,1020.0,1019.0,1014.0,1009.0,1009.0,16.0,16.0,16.0,16.0,6.0,13.0,34.0,26.0,16.0,11.0,0.0,0.0,-10.44030650891055,-8.246211251235321,-6.082762530298219,-27.586228448267445,-20.396078054371138,-18.681541692269406,-26.201145013147805,-16.15549442140351,-11.853269591129697,11.510864433221338,14.577379737113251,16.97056274847714,0.0,0.0,5.049752469181039,2.7386127875258306,0.0,0.0
2,2.0,15.0,-2.0,8.0,-6.0,1.0,15.0,54.0,8.0,32.0,2.0,15.0,50.0,87.0,38.0,59.0,26.0,31.0,1043.0,1032.0,1039.0,1019.0,1033.0,1009.0,16.0,16.0,16.0,16.0,16.0,6.0,27.0,34.0,11.0,16.0,0.0,0.0,-7.745966692414834,-6.48074069840786,-4.949747468305833,-25.739075352467502,-16.837458240482736,-9.082951062292475,-22.85825890132492,-14.422205101855956,-7.280109889280518,6.928203230275509,13.693063937629153,16.59819267269783,0.0,0.0,7.0710678118654755,-6.519202405202649,-4.123105625617661,0.0
8,9.0,2.0,2.0,-2.0,-6.0,-6.0,29.0,15.0,11.0,8.0,4.0,2.0,68.0,50.0,43.0,38.0,17.0,26.0,1038.0,1043.0,1034.0,1039.0,1028.0,1033.0,16.0,16.0,16.0,16.0,16.0,16.0,21.0,27.0,8.0,11.0,0.0,0.0,5.385164807134504,5.0990195135927845,7.0710678118654755,18.439088914585774,24.13503677229434,18.439088914585774,21.783020910791965,22.901964981197573,27.55902755904134,-8.54400374531753,-8.54400374531753,-6.670832032063167,0.0,-9.192388155425117,-9.899494936611665,-4.47213595499958,-4.743416490252569,2.8284271247461903
17,12.0,9.0,8.0,2.0,4.0,-6.0,51.0,29.0,45.0,11.0,30.0,4.0,93.0,68.0,75.0,43.0,57.0,17.0,1027.0,1038.0,1023.0,1034.0,1020.0,1028.0,16.0,16.0,3.0,16.0,2.0,16.0,19.0,21.0,2.0,8.0,4.0,0.0,6.708203932499369,7.648529270389178,9.055385138137417,16.80773631397161,25.059928172283335,23.194827009486403,17.67766952966369,22.901964981197573,28.991378028648448,-8.54400374531753,-8.06225774829855,-6.324555320336759,0.0,-8.94427190999916,-10.0,-1.4142135623730951,-3.6742346141747673,0.0
18,21.0,12.0,17.0,8.0,12.0,4.0,60.0,51.0,55.0,45.0,50.0,30.0,93.0,93.0,80.0,75.0,66.0,57.0,1022.0,1027.0,1020.0,1023.0,1016.0,1020.0,16.0,16.0,6.0,3.0,0.0,2.0,19.0,19.0,5.0,2.0,0.0,4.0,6.4031242374328485,6.4031242374328485,5.830951894845301,6.96419413859206,8.246211251235321,14.422205101855956,0.0,3.605551275463989,6.519202405202649,-6.082762530298219,-6.041522986797286,-6.96419413859206,0.0,5.385164807134504,0.0,1.4142135623730951,4.123105625617661,-1.8708286933869707
17,22.0,21.0,18.0,17.0,14.0,12.0,64.0,60.0,61.0,55.0,54.0,50.0,93.0,93.0,81.0,80.0,68.0,66.0,1015.0,1022.0,1012.0,1020.0,1007.0,1016.0,16.0,16.0,13.0,6.0,2.0,0.0,21.0,19.0,10.0,5.0,3.0,0.0,1.5811388300841898,0.0,-3.24037034920393,-6.48074069840786,-16.431676725154983,-23.874672772626646,0.0,-19.78635893740938,-38.86515148561755,-2.5495097567963922,-3.7416573867739413,-5.291502622129181,0.0,5.0,4.47213595499958,0.0,0.0,0.0
14,24.0,22.0,17.0,18.0,9.0,14.0,54.0,64.0,37.0,61.0,20.0,54.0,93.0,93.0,53.0,81.0,13.0,68.0,1021.0,1015.0,1018.0,1012.0,1012.0,1007.0,16.0,16.0,14.0,13.0,8.0,2.0,19.0,21.0,5.0,10.0,0.0,3.0,-3.24037034920393,-2.23606797749979,-3.605551275463989,-6.48074069840786,-15.427248620541512,-22.214859891523062,-6.363961030678928,-16.718253497300488,-27.422618401604176,4.183300132670378,4.0,3.605551275463989,0.0,1.5811388300841898,7.0710678118654755,3.24037034920393,-3.4641016151377544,-2.1213203435596424
14,19.0,24.0,14.0,17.0,8.0,9.0,58.0,54.0,47.0,37.0,33.0,20.0,84.0,93.0,68.0,53.0,52.0,13.0,1020.0,1021.0,1016.0,1018.0,1013.0,1012.0,16.0,16.0,16.0,14.0,16.0,8.0,24.0,19.0,6.0,5.0,0.0,0.0,-2.8284271247461903,-2.1213203435596424,-1.5811388300841898,3.1622776601683795,-3.24037034920393,-6.59545297913646,-6.0,-5.656854249492381,6.2048368229954285,0.0,-1.4142135623730951,-1.224744871391589,0.0,0.0,4.415880433163924,4.123105625617661,3.605551275463989,0.0
14,22.0,19.0,14.0,14.0,6.0,8.0,60.0,58.0,36.0,47.0,17.0,33.0,87.0,84.0,51.0,68.0,14.0,52.0,1021.0,1020.0,1016.0,1016.0,1011.0,1013.0,16.0,16.0,14.0,16.0,11.0,16.0,27.0,24.0,11.0,6.0,0.0,0.0,2.5495097567963922,0.0,-2.5495097567963922,-20.457272545478784,-11.0,-11.113055385446435,-11.832159566199232,-13.946325680981353,-26.90724809414742,4.301162633521313,2.8284271247461903,3.24037034920393,0.0,0.0,0.0,2.0,2.8284271247461903,0.0
11,24.0,22.0,14.0,14.0,3.0,6.0,31.0,60.0,25.0,36.0,20.0,17.0,70.0,87.0,41.0,51.0,12.0,14.0,1027.0,1021.0,1020.0,1016.0,1016.0,1011.0,16.0,16.0,16.0,14.0,16.0,11.0,26.0,27.0,8.0,11.0,0.0,0.0,-4.0,-2.1213203435596424,-2.0,-20.554804791094465,-7.905694150420948,-1.8708286933869707,-19.1049731745428,-8.246211251235321,6.2048368229954285,5.522680508593631,5.70087712549569,5.522680508593631,0.0,1.4142135623730951,3.5355339059327378,-2.23606797749979,-2.5495097567963922,0.0
13,18.0,24.0,11.0,14.0,4.0,3.0,29.0,31.0,23.0,25.0,16.0,20.0,49.0,70.0,35.0,41.0,21.0,12.0,1032.0,1027.0,1027.0,1020.0,1022.0,1016.0,16.0,16.0,16.0,16.0,16.0,16.0,23.0,26.0,6.0,8.0,0.0,0.0,-3.1622776601683795,-1.5811388300841898,0.7071067811865476,0.0,2.449489742783178,4.06201920231798,-14.230249470757707,-3.6742346141747673,6.324555320336759,-5.291502622129181,0.0,3.1622776601683795,0.0,0.0,0.0,-2.1213203435596424,-1.4142135623730951,0.0
12,22.0,18.0,13.0,11.0,4.0,4.0,31.0,29.0,27.0,23.0,23.0,16.0,55.0,49.0,38.0,35.0,20.0,21.0,1023.0,1032.0,1020.0,1027.0,1018.0,1022.0,16.0,16.0,16.0,16.0,16.0,16.0,23.0,23.0,6.0,6.0,0.0,0.0,0.0,1.224744871391589,1.4142135623730951,1.4142135623730951,-4.06201920231798,-2.7386127875258306,-5.656854249492381,-4.47213595499958,-2.23606797749979,-5.291502622129181,-2.5495097567963922,2.1213203435596424,0.0,0.0,-1.4142135623730951,0.0,1.4142135623730951,0.0
12,18.0,22.0,12.0,13.0,6.0,4.0,31.0,31.0,20.0,27.0,15.0,23.0,45.0,55.0,31.0,38.0,17.0,20.0,1028.0,1023.0,1026.0,1020.0,1023.0,1018.0,16.0,16.0,16.0,16.0,14.0,16.0,23.0,23.0,8.0,6.0,0.0,0.0,-1.8708286933869707,-0.7071067811865476,-1.5811388300841898,7.0710678118654755,7.745966692414834,0.0,6.928203230275509,8.573214099741124,9.669539802906858,2.8284271247461903,3.1622776601683795,2.1213203435596424,0.0,0.0,0.0,-2.8284271247461903,-3.24037034920393,0.0
15,21.0,18.0,12.0,12.0,3.0,6.0,41.0,31.0,33.0,20.0,23.0,15.0,59.0,45.0,45.0,31.0,31.0,17.0,1025.0,1028.0,1022.0,1026.0,1019.0,1023.0,16.0,16.0,16.0,16.0,16.0,14.0,19.0,23.0,3.0,8.0,0.0,0.0,2.23606797749979,2.1213203435596424,1.8708286933869707,7.0710678118654755,8.94427190999916,4.415880433163924,10.51189802081432,8.94427190999916,-6.819090848492928,0.0,-2.7386127875258306,-2.7386127875258306,0.0,0.0,1.4142135623730951,-4.527692569068709,-3.24037034920393,0.0
18,22.0,21.0,15.0,12.0,7.0,3.0,41.0,41.0,30.0,33.0,18.0,23.0,64.0,59.0,39.0,45.0,14.0,31.0,1028.0,1025.0,1023.0,1022.0,1020.0,1019.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,19.0,5.0,3.0,0.0,0.0,4.301162633521313,3.0,2.9154759474226504,7.0710678118654755,3.6742346141747673,0.0,6.082762530298219,-2.345207879911715,-11.832159566199232,-4.47213595499958,-4.898979485566356,-6.324555320336759,0.0,0.0,0.0,7.713624310270756,2.5495097567963922,0.0
11,28.0,22.0,18.0,15.0,8.0,7.0,51.0,41.0,36.0,30.0,23.0,18.0,71.0,64.0,44.0,39.0,17.0,14.0,1021.0,1028.0,1016.0,1023.0,1011.0,1020.0,16.0,16.0,16.0,16.0,16.0,16.0,26.0,14.0,8.0,5.0,0.0,0.0,-6.519202405202649,-4.47213595499958,-3.4641016151377544,-14.64581851587681,-8.154753215150045,2.1213203435596424,-6.892024376045111,0.0,2.5495097567963922,4.0,5.049752469181039,4.47213595499958,0.0,0.0,0.0,8.366600265340756,2.5495097567963922,0.0
12,17.0,28.0,11.0,18.0,3.0,8.0,28.0,51.0,23.0,36.0,19.0,23.0,59.0,71.0,39.0,44.0,19.0,17.0,1030.0,1021.0,1026.0,1016.0,1022.0,1011.0,16.0,16.0,16.0,16.0,16.0,16.0,24.0,26.0,10.0,8.0,0.0,0.0,-7.245688373094719,-4.898979485566356,-3.5355339059327378,-14.2828568570857,-8.74642784226795,2.1213203435596424,-3.391164991562634,2.345207879911715,1.4142135623730951,4.743416490252569,5.656854249492381,6.519202405202649,0.0,0.0,0.0,-3.8078865529319543,-2.449489742783178,0.0
6,21.0,17.0,12.0,11.0,3.0,3.0,39.0,28.0,27.0,23.0,24.0,19.0,70.0,59.0,45.0,39.0,19.0,19.0,1024.0,1030.0,1020.0,1026.0,1016.0,1022.0,16.0,16.0,16.0,16.0,16.0,16.0,19.0,24.0,6.0,10.0,0.0,0.0,-4.898979485566356,-4.183300132670378,-4.242640687119285,8.06225774829855,3.1622776601683795,2.1213203435596424,9.617692030835672,14.089002803605371,21.920310216782973,11.247221879201993,7.3484692283495345,-4.0,0.0,-2.1213203435596424,-9.192388155425117,8.48528137423857,4.898979485566356,1.4142135623730951
1,13.0,21.0,6.0,12.0,-3.0,3.0,42.0,39.0,29.0,27.0,20.0,24.0,78.0,70.0,64.0,45.0,50.0,19.0,1041.0,1024.0,1032.0,1020.0,1018.0,1016.0,16.0,16.0,13.0,16.0,3.0,16.0,32.0,19.0,14.0,6.0,2.0,0.0,-8.514693182963201,-5.522680508593631,-4.242640687119285,-13.982131454109563,-8.366600265340756,-7.615773105863909,6.041522986797286,13.133925536563698,20.493901531919196,12.041594578792296,9.192388155425117,7.905694150420948,0.0,-2.0,-9.082951062292475,8.154753215150045,3.7416573867739413,1.224744871391589
9,4.0,13.0,1.0,6.0,-3.0,-3.0,22.0,42.0,17.0,29.0,10.0,20.0,81.0,78.0,60.0,64.0,39.0,50.0,1042.0,1041.0,1037.0,1032.0,1029.0,1018.0,16.0,16.0,14.0,13.0,5.0,3.0,26.0,32.0,8.0,14.0,1.0,2.0,10.198039027185569,4.415880433163924,0.0,-8.48528137423857,-4.69041575982343,4.69041575982343,3.5355339059327378,-5.70087712549569,-15.524174696260024,-9.16515138991168,-10.0,-3.391164991562634,0.0,1.5811388300841898,5.830951894845301,-10.124228365658293,-6.0,-1.0
16,21.0,4.0,9.0,1.0,-3.0,-3.0,38.0,22.0,27.0,17.0,22.0,10.0,85.0,81.0,53.0,60.0,20.0,39.0,1029.0,1042.0,1022.0,1037.0,1017.0,1029.0,16.0,16.0,16.0,14.0,13.0,5.0,13.0,26.0,2.0,8.0,0.0,1.0,12.206555615733702,7.516648189186454,6.363961030678928,12.349089035228468,11.045361017187261,11.510864433221338,-5.70087712549569,-5.0,-12.489995996796797,-13.0,-13.583077707206124,-12.0,0.0,1.4142135623730951,6.041522986797286,-8.154753215150045,-3.6742346141747673,-0.7071067811865476
8,24.0,21.0,16.0,9.0,6.0,-3.0,45.0,38.0,39.0,27.0,33.0,22.0,76.0,85.0,52.0,53.0,27.0,20.0,1016.0,1029.0,1010.0,1022.0,1005.0,1017.0,16.0,16.0,16.0,16.0,16.0,13.0,19.0,13.0,5.0,2.0,0.0,0.0,-5.244044240850758,-2.7386127875258306,5.291502622129181,4.743416490252569,-7.483314773547883,-18.207141456033124,-9.513148795220223,-5.70087712549569,2.5495097567963922,-6.6332495807108,-5.612486080160912,-8.0,0.0,0.0,2.1213203435596424,11.423659658795863,6.708203932499369,0.7071067811865476
1,16.0,24.0,8.0,16.0,1.0,6.0,43.0,45.0,23.0,39.0,5.0,33.0,66.0,76.0,44.0,52.0,21.0,27.0,1025.0,1016.0,1019.0,1010.0,1009.0,1005.0,16.0,16.0,16.0,16.0,16.0,16.0,34.0,19.0,14.0,5.0,1.0,0.0,-10.198039027185569,-7.516648189186454,-4.527692569068709,-17.029386365926403,-12.98075498574717,-19.748417658131498,-6.745368781616021,-4.898979485566356,0.0,8.514693182963201,9.513148795220223,11.661903789690601,0.0,0.0,0.0,7.905694150420948,5.70087712549569,0.7071067811865476
3,4.0,16.0,1.0,8.0,-3.0,1.0,19.0,43.0,14.0,23.0,7.0,5.0,69.0,66.0,48.0,44.0,27.0,21.0,1033.0,1025.0,1029.0,1019.0,1025.0,1009.0,16.0,16.0,16.0,16.0,16.0,16.0,24.0,34.0,10.0,14.0,1.0,1.0,-7.713624310270756,-4.743416490252569,-2.8284271247461903,-16.97056274847714,-6.4031242374328485,2.0,-3.6742346141747673,-3.1622776601683795,0.0,5.70087712549569,7.106335201775948,11.335784048754634,0.0,0.0,0.0,-7.0710678118654755,-3.1622776601683795,-0.7071067811865476
9,9.0,4.0,3.0,1.0,-3.0,-3.0,19.0,19.0,13.0,14.0,9.0,7.0,63.0,69.0,42.0,48.0,21.0,27.0,1034.0,1033.0,1030.0,1029.0,1026.0,1025.0,16.0,16.0,16.0,16.0,16.0,16.0,24.0,24.0,8.0,10.0,0.0,1.0,7.280109889280518,4.47213595499958,1.4142135623730951,22.627416997969522,16.24807680927192,7.905694150420948,11.247221879201993,14.966629547095765,18.614510468986285,-6.324555320336759,-8.455767262643882,-9.16515138991168,0.0,0.0,0.0,0.0,1.5811388300841898,-0.7071067811865476
20,18.0,9.0,9.0,3.0,-1.0,-3.0,51.0,19.0,36.0,13.0,20.0,9.0,80.0,63.0,64.0,42.0,48.0,21.0,1025.0,1034.0,1018.0,1030.0,1013.0,1026.0,16.0,16.0,16.0,16.0,16.0,16.0,24.0,24.0,11.0,8.0,0.0,0.0,9.0,8.860022573334675,10.0,23.323807579381203,20.65187642806338,23.259406699226016,12.747548783981962,15.556349186104045,18.614510468986285,-9.513148795220223,-9.486832980505138,-9.617692030835672,0.0,0.0,-1.4142135623730951,-0.7071067811865476,3.0,0.0
19,27.0,18.0,20.0,9.0,13.0,-1.0,59.0,51.0,54.0,36.0,51.0,20.0,86.0,80.0,64.0,64.0,42.0,48.0,1015.0,1025.0,1012.0,1018.0,1009.0,1013.0,16.0,16.0,16.0,16.0,14.0,16.0,23.0,24.0,14.0,11.0,0.0,0.0,6.0,7.745966692414834,9.899494936611665,6.041522986797286,13.209844813622906,20.74849392124643,2.345207879911715,4.949747468305833,12.0,-7.211102550927978,-4.743416490252569,-3.1622776601683795,0.0,0.0,-1.4142135623730951,-0.7071067811865476,-1.8708286933869707,0.0
