,Mean TemperatureC,Mean TemperatureC_1,Mean TemperatureC_2,Mean TemperatureC_3,Mean TemperatureC_4,Mean TemperatureC_5,MeanDew PointC_1,MeanDew PointC_2,MeanDew PointC_3,MeanDew PointC_4,MeanDew PointC_5, Mean Humidity_1, Mean Humidity_2, Mean Humidity_3, Mean Humidity_4, Mean Humidity_5, Min Humidity_1, Min Humidity_2, Min Humidity_3, Min Humidity_4, Min Humidity_5, Mean Sea Level PressurehPa_1, Mean Sea Level PressurehPa_2, Mean Sea Level PressurehPa_3, Mean Sea Level PressurehPa_4, Mean Sea Level PressurehPa_5, Mean VisibilityKm_1, Mean VisibilityKm_2, Mean VisibilityKm_3, Mean VisibilityKm_4, Mean VisibilityKm_5, Mean Wind SpeedKm/h_1, Mean Wind SpeedKm/h_2, Mean Wind SpeedKm/h_3, Mean Wind SpeedKm/h_4, Mean Wind SpeedKm/h_5,Precipitationmm_1,Precipitationmm_2,Precipitationmm_3,Precipitationmm_4,Precipitationmm_5, CloudCover_1, CloudCover_2, CloudCover_3, CloudCover_4, CloudCover_5,WindDirDegrees_1,WindDirDegrees_2,WindDirDegrees_3,WindDirDegrees_4,WindDirDegrees_5,Mean TemperatureCtrend_in_last3_days,MeanDew PointCtrend_in_last3_days,Mean TemperatureCtrend_in_last6_days,MeanDew PointCtrend_in_last6_days
16,9.0,9.0,8.0,6.0,9.0,10.0,7.0,5.0,2.0,4.0,6.0,89.0,83.0,81.0,75.0,84.0,72.0,62.0,50.0,38.0,55.0,1017.0,1019.0,1020.0,1021.0,1022.0,10.0,10.0,9.0,9.0,10.0,5.0,3.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,1.0,63.0,16.0,35.0,128.0,345.0,0.6476030138606876,0.3333333333333334,-0.0028061254009345464,-0.12207760175616428
17,3.0,9.0,9.0,8.0,6.0,9.0,5.0,7.0,5.0,2.0,4.0,78.0,89.0,83.0,81.0,75.0,47.0,72.0,62.0,50.0,38.0,1018.0,1017.0,1019.0,1020.0,1021.0,10.0,10.0,10.0,9.0,9.0,13.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,4.0,4.0,267.0,63.0,16.0,35.0,128.0,-0.23344672382596043,-0.11111111111111102,-0.21272496273324168,-0.12207760175616428
18,7.0,3.0,9.0,9.0,8.0,6.0,4.0,5.0,7.0,5.0,2.0,98.0,78.0,89.0,83.0,81.0,93.0,47.0,72.0,62.0,50.0,1019.0,1018.0,1017.0,1019.0,1020.0,7.0,10.0,10.0,10.0,9.0,2.0,13.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,6.0,4.0,357.0,267.0,63.0,16.0,35.0,-0.022449003207476403,-0.11111111111111102,0.0015037980700817542,0.014886066246173479
19,7.0,7.0,3.0,9.0,9.0,8.0,6.0,4.0,5.0,7.0,5.0,97.0,98.0,78.0,89.0,83.0,87.0,93.0,47.0,72.0,62.0,1011.0,1019.0,1018.0,1017.0,1019.0,6.0,7.0,10.0,10.0,10.0,8.0,2.0,13.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,6.0,6.0,99.0,357.0,267.0,63.0,16.0,-0.022449003207476403,0.22222222222222238,0.10722610242399987,0.2749716523768433
20,8.0,7.0,7.0,3.0,9.0,9.0,7.0,6.0,4.0,5.0,7.0,100.0,97.0,98.0,78.0,89.0,100.0,87.0,93.0,47.0,72.0,1005.0,1011.0,1019.0,1018.0,1017.0,8.0,6.0,7.0,10.0,10.0,5.0,8.0,2.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,4.0,6.0,320.0,99.0,357.0,267.0,63.0,1.0,0.22222222222222238,0.06678005715929379,0.004765913201494726
21,8.0,8.0,7.0,7.0,3.0,9.0,6.0,7.0,6.0,4.0,5.0,89.0,100.0,97.0,98.0,78.0,71.0,100.0,87.0,93.0,47.0,1011.0,1005.0,1011.0,1019.0,1018.0,9.0,8.0,6.0,7.0,10.0,3.0,5.0,8.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,6.0,4.0,65.0,320.0,99.0,357.0,267.0,0.1111111111111111,-0.11111111111111102,0.008418376202803663,-0.1111111111111111
22,10.0,8.0,8.0,7.0,7.0,3.0,5.0,6.0,7.0,6.0,4.0,85.0,89.0,100.0,97.0,98.0,58.0,71.0,100.0,87.0,93.0,1016.0,1011.0,1005.0,1011.0,1019.0,9.0,9.0,8.0,6.0,7.0,3.0,3.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,6.0,33.0,65.0,320.0,99.0,357.0,0.6476030138606876,2.1912802922805882e-32,0.10722610242399987,0.05555555555555558
23,10.0,10.0,8.0,8.0,7.0,7.0,9.0,5.0,6.0,7.0,6.0,96.0,85.0,89.0,100.0,97.0,82.0,58.0,71.0,100.0,87.0,1014.0,1016.0,1011.0,1005.0,1011.0,8.0,9.0,9.0,8.0,6.0,5.0,3.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,5.0,4.0,29.0,33.0,65.0,320.0,99.0,0.22222222222222215,2.1912802922805882e-32,0.5412578159510716,0.05555555555555558
24,9.0,10.0,10.0,8.0,8.0,7.0,8.0,9.0,5.0,6.0,7.0,90.0,96.0,85.0,89.0,100.0,67.0,82.0,58.0,71.0,100.0,1021.0,1014.0,1016.0,1011.0,1005.0,10.0,8.0,9.0,9.0,8.0,6.0,5.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0,5.0,5.0,357.0,29.0,33.0,65.0,320.0,0.019063652805978867,2.1912802922805882e-32,0.05555555555555562,-0.027777777777777766
25,9.0,9.0,10.0,10.0,8.0,8.0,7.0,8.0,9.0,5.0,6.0,89.0,90.0,96.0,85.0,89.0,76.0,67.0,82.0,58.0,71.0,1024.0,1021.0,1014.0,1016.0,1011.0,10.0,10.0,8.0,9.0,9.0,3.0,6.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,5.0,5.0,358.0,357.0,29.0,33.0,65.0,-0.11111111111111117,-0.9999999999999998,0.05555555555555562,-0.25
26,8.0,9.0,9.0,10.0,10.0,8.0,6.0,7.0,8.0,9.0,5.0,83.0,89.0,90.0,96.0,85.0,55.0,76.0,67.0,82.0,58.0,1025.0,1024.0,1021.0,1014.0,1016.0,10.0,10.0,10.0,8.0,9.0,2.0,3.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,7.0,5.0,180.0,358.0,357.0,29.0,33.0,-0.4444444444444444,-0.44444444444444425,-0.009531826402989415,-0.1111111111111111
27,10.0,8.0,9.0,9.0,10.0,10.0,6.0,6.0,7.0,8.0,9.0,84.0,83.0,89.0,90.0,96.0,55.0,55.0,76.0,67.0,82.0,1027.0,1025.0,1024.0,1021.0,1014.0,7.0,10.0,10.0,10.0,8.0,2.0,2.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,5.0,7.0,5.0,180.0,358.0,357.0,29.0,0.019063652805978888,-0.6476030138606876,0.01906365280597892,-0.1619007534651719
28,8.0,10.0,8.0,9.0,9.0,10.0,4.0,6.0,6.0,7.0,8.0,74.0,84.0,83.0,89.0,90.0,48.0,55.0,55.0,76.0,67.0,1027.0,1027.0,1025.0,1024.0,1021.0,9.0,7.0,10.0,10.0,10.0,6.0,2.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,6.0,5.0,1.0,5.0,180.0,358.0,357.0,-0.1111111111111111,5.4782007307014706e-33,-0.11111111111111102,-0.25
29,11.0,8.0,10.0,8.0,9.0,9.0,6.0,4.0,6.0,6.0,7.0,83.0,74.0,84.0,83.0,89.0,67.0,48.0,55.0,55.0,76.0,1027.0,1027.0,1027.0,1025.0,1024.0,10.0,9.0,7.0,10.0,10.0,6.0,6.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,6.0,2.0,6.0,140.0,1.0,5.0,180.0,358.0,0.3333333333333333,0.11111111111111117,-0.0019943547145691814,-0.027777777777777776
30,9.0,11.0,8.0,10.0,8.0,9.0,7.0,6.0,4.0,6.0,6.0,80.0,83.0,74.0,84.0,83.0,59.0,67.0,48.0,55.0,55.0,1030.0,1027.0,1027.0,1027.0,1025.0,10.0,10.0,9.0,7.0,10.0,6.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,6.0,2.0,38.0,140.0,1.0,5.0,180.0,-0.13356011431858758,0.647603013860688,-0.012926278445613296,0.0
31,9.0,9.0,11.0,8.0,10.0,8.0,7.0,7.0,6.0,4.0,6.0,87.0,80.0,83.0,74.0,84.0,67.0,59.0,67.0,48.0,55.0,1029.0,1030.0,1027.0,1027.0,1027.0,9.0,10.0,10.0,9.0,7.0,0.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,3.0,6.0,34.0,38.0,140.0,1.0,5.0,0.011224501603738186,0.11111111111111117,-0.012926278445613296,0.027777777777777776
32,9.0,9.0,9.0,11.0,8.0,10.0,7.0,7.0,7.0,6.0,4.0,95.0,87.0,80.0,83.0,74.0,77.0,67.0,59.0,67.0,48.0,1028.0,1029.0,1030.0,1027.0,1027.0,3.0,9.0,10.0,10.0,9.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,7.0,3.0,0.0,34.0,38.0,140.0,1.0,-0.22222222222222227,5.4782007307014706e-33,0.002806125400934558,0.027777777777777776
33,10.0,9.0,9.0,9.0,11.0,8.0,7.0,7.0,7.0,7.0,6.0,93.0,95.0,87.0,80.0,83.0,72.0,77.0,67.0,59.0,67.0,1026.0,1028.0,1029.0,1030.0,1027.0,2.0,3.0,9.0,10.0,10.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,5.0,7.0,155.0,0.0,34.0,38.0,140.0,0.1111111111111111,-0.11111111111111106,-0.0002580109586850535,0.055555555555555566
34,6.0,10.0,9.0,9.0,9.0,11.0,6.0,7.0,7.0,7.0,7.0,76.0,93.0,95.0,87.0,80.0,47.0,72.0,77.0,67.0,59.0,1025.0,1026.0,1028.0,1029.0,1030.0,7.0,2.0,3.0,9.0,10.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,3.0,5.0,72.0,155.0,0.0,34.0,38.0,-0.1111111111111111,-1.0,-0.012926278445613287,-0.1111111111111111
35,7.0,6.0,10.0,9.0,9.0,9.0,2.0,6.0,7.0,7.0,7.0,71.0,76.0,93.0,95.0,87.0,51.0,47.0,72.0,77.0,67.0,1027.0,1025.0,1026.0,1028.0,1029.0,10.0,7.0,2.0,3.0,9.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,3.0,239.0,72.0,155.0,0.0,34.0,0.0,-0.4444444444444444,-0.05555555555555549,-0.1111111111111111
36,8.0,7.0,6.0,10.0,9.0,9.0,3.0,2.0,6.0,7.0,7.0,79.0,71.0,76.0,93.0,95.0,48.0,51.0,47.0,72.0,77.0,1029.0,1027.0,1025.0,1026.0,1028.0,9.0,10.0,7.0,2.0,3.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,3.0,352.0,239.0,72.0,155.0,0.0,0.0,0.0,0.027777777777777832,-0.027777777777777776
37,8.0,8.0,7.0,6.0,10.0,9.0,4.0,3.0,2.0,6.0,7.0,79.0,79.0,71.0,76.0,93.0,48.0,48.0,51.0,47.0,72.0,1029.0,1029.0,1027.0,1025.0,1026.0,9.0,9.0,10.0,7.0,2.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,5.0,352.0,352.0,239.0,72.0,155.0,0.4444444444444444,0.4444444444444444,0.027777777777777832,-0.027777777777777776
38,8.0,8.0,8.0,7.0,6.0,10.0,4.0,4.0,3.0,2.0,6.0,78.0,79.0,79.0,71.0,76.0,51.0,48.0,48.0,51.0,47.0,1029.0,1029.0,1029.0,1027.0,1025.0,10.0,9.0,9.0,10.0,7.0,2.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,4.0,9.0,352.0,352.0,239.0,72.0,0.1111111111111111,-0.059544264984693916,0.027777777777777832,-0.20733615597604874
39,7.0,8.0,8.0,8.0,7.0,6.0,1.0,4.0,4.0,3.0,2.0,68.0,78.0,79.0,79.0,71.0,31.0,51.0,48.0,48.0,51.0,1031.0,1029.0,1029.0,1029.0,1027.0,10.0,10.0,9.0,9.0,10.0,2.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,1.0,180.0,9.0,352.0,352.0,239.0,-0.1111111111111111,-0.059544264984693916,-0.027777777777777728,-0.014886066246173479
40,7.0,7.0,8.0,8.0,8.0,7.0,2.0,1.0,4.0,4.0,3.0,74.0,68.0,78.0,79.0,79.0,51.0,31.0,51.0,48.0,48.0,1031.0,1031.0,1029.0,1029.0,1029.0,10.0,10.0,10.0,9.0,9.0,3.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,3.0,2.0,359.0,180.0,9.0,352.0,352.0,-0.1111111111111111,0.007977418858276766,0.027777777777777832,0.1428775983180273
41,11.0,7.0,7.0,8.0,8.0,8.0,3.0,2.0,1.0,4.0,4.0,76.0,74.0,68.0,78.0,79.0,51.0,51.0,31.0,51.0,48.0,1031.0,1031.0,1031.0,1029.0,1029.0,10.0,10.0,10.0,10.0,9.0,3.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,6.0,3.0,3.0,284.0,359.0,180.0,9.0,352.0,0.1111111111111111,1.547578136697279,0.11111111111111122,0.25
42,10.0,11.0,7.0,7.0,8.0,8.0,6.0,3.0,2.0,1.0,4.0,78.0,76.0,74.0,68.0,78.0,49.0,51.0,51.0,31.0,51.0,1032.0,1031.0,1031.0,1031.0,1029.0,8.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,6.0,3.0,32.0,284.0,359.0,180.0,9.0,0.1111111111111111,0.8293446239041949,2.1912802922805882e-32,0.1111111111111111
43,11.0,10.0,11.0,7.0,7.0,8.0,6.0,6.0,3.0,2.0,1.0,78.0,78.0,76.0,74.0,68.0,52.0,49.0,51.0,51.0,31.0,1030.0,1032.0,1031.0,1031.0,1031.0,8.0,8.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,1.0,6.0,306.0,32.0,284.0,359.0,180.0,0.4444444444444444,0.8293446239041949,0.027777777777777832,0.25
44,12.0,11.0,10.0,11.0,7.0,7.0,7.0,6.0,6.0,3.0,2.0,72.0,78.0,78.0,76.0,74.0,58.0,52.0,49.0,51.0,51.0,1029.0,1030.0,1032.0,1031.0,1031.0,10.0,8.0,8.0,10.0,10.0,14.0,10.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,10.0,1.0,250.0,306.0,32.0,284.0,359.0,0.1111111111111111,0.647603013860688,0.11111111111111122,1.049349047367172
45,10.0,12.0,11.0,10.0,11.0,7.0,9.0,7.0,6.0,6.0,3.0,82.0,72.0,78.0,78.0,76.0,67.0,58.0,52.0,49.0,51.0,1023.0,1029.0,1030.0,1032.0,1031.0,10.0,10.0,8.0,8.0,10.0,19.0,14.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,10.0,252.0,250.0,306.0,32.0,284.0,0.03812730561195774,-0.005956636563236228,0.06985329516003977,0.17368237660045335
46,7.0,10.0,12.0,11.0,10.0,11.0,2.0,9.0,7.0,6.0,6.0,54.0,82.0,72.0,78.0,78.0,39.0,67.0,58.0,52.0,49.0,1024.0,1023.0,1029.0,1030.0,1032.0,10.0,10.0,10.0,8.0,8.0,14.0,19.0,14.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,2.0,268.0,252.0,250.0,306.0,32.0,-0.5118278606313791,-0.005956636563236228,-0.0005942573865144968,0.17368237660045335
47,8.0,7.0,10.0,12.0,11.0,10.0,3.0,2.0,9.0,7.0,6.0,76.0,54.0,82.0,72.0,78.0,51.0,39.0,67.0,58.0,52.0,1023.0,1024.0,1023.0,1029.0,1030.0,10.0,10.0,10.0,10.0,8.0,3.0,14.0,19.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,214.0,268.0,252.0,250.0,306.0,-0.5118278606313791,-0.3009441530967576,-0.036497833494401805,0.016403728657948206
48,9.0,8.0,7.0,10.0,12.0,11.0,3.0,3.0,2.0,9.0,7.0,75.0,76.0,54.0,82.0,72.0,39.0,51.0,39.0,67.0,58.0,1027.0,1023.0,1024.0,1023.0,1029.0,10.0,10.0,10.0,10.0,10.0,5.0,3.0,14.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,3.0,190.0,214.0,268.0,252.0,250.0,0.00797741885827675,0.11111111111111117,0.020246236834182748,0.016403728657948206
49,10.0,9.0,8.0,7.0,10.0,12.0,3.0,3.0,3.0,2.0,9.0,72.0,75.0,76.0,54.0,82.0,48.0,39.0,51.0,39.0,67.0,1031.0,1027.0,1023.0,1024.0,1023.0,10.0,10.0,10.0,10.0,10.0,3.0,5.0,3.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,15.0,190.0,214.0,268.0,252.0,1.0,0.1111111111111111,0.020246236834182748,0.016403728657948206
50,10.0,10.0,9.0,8.0,7.0,10.0,4.0,3.0,3.0,3.0,2.0,71.0,72.0,75.0,76.0,54.0,40.0,48.0,39.0,51.0,39.0,1033.0,1031.0,1027.0,1023.0,1024.0,31.0,10.0,10.0,10.0,10.0,3.0,3.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,1.0,2.0,2.0,287.0,15.0,190.0,214.0,268.0,0.4444444444444444,0.4444444444444444,-0.0005942573865144968,0.003485892600346015
51,12.0,10.0,10.0,9.0,8.0,7.0,5.0,4.0,3.0,3.0,3.0,72.0,71.0,72.0,75.0,76.0,43.0,40.0,48.0,39.0,51.0,1031.0,1033.0,1031.0,1027.0,1023.0,9.0,31.0,10.0,10.0,10.0,2.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,1.0,2.0,254.0,287.0,15.0,190.0,214.0,0.6476030138606876,1.0,0.19983325120163772,0.4444444444444444
52,12.0,12.0,10.0,10.0,9.0,8.0,6.0,5.0,4.0,3.0,3.0,72.0,72.0,71.0,72.0,75.0,40.0,43.0,40.0,48.0,39.0,1029.0,1031.0,1033.0,1031.0,1027.0,9.0,9.0,31.0,10.0,10.0,2.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,2.0,1.0,11.0,254.0,287.0,15.0,190.0,0.22222222222222215,1.0,0.5412578159510716,0.4444444444444444
53,12.0,12.0,12.0,10.0,10.0,9.0,7.0,6.0,5.0,4.0,3.0,77.0,72.0,72.0,71.0,72.0,46.0,40.0,43.0,40.0,48.0,1027.0,1029.0,1031.0,1033.0,1031.0,10.0,9.0,9.0,31.0,10.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,31.0,2.0,314.0,11.0,254.0,287.0,15.0,0.22222222222222215,1.0,0.323801506930344,0.6944444444444445
54,9.0,12.0,12.0,12.0,10.0,10.0,8.0,7.0,6.0,5.0,4.0,79.0,77.0,72.0,72.0,71.0,52.0,46.0,40.0,43.0,40.0,1023.0,1027.0,1029.0,1031.0,1033.0,7.0,10.0,9.0,9.0,31.0,6.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,31.0,210.0,314.0,11.0,254.0,287.0,-0.3333333333333334,0.03812730561195774,0.012926278445613348,0.3571628993408069
55,12.0,9.0,12.0,12.0,12.0,10.0,6.0,8.0,7.0,6.0,5.0,80.0,79.0,77.0,72.0,72.0,55.0,52.0,46.0,40.0,43.0,1022.0,1023.0,1027.0,1029.0,1031.0,8.0,7.0,10.0,9.0,9.0,8.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,2.0,0.0,225.0,210.0,314.0,11.0,254.0,-5.4782007307014706e-33,0.1111111111111111,0.05555555555555562,0.4444444444444444
56,11.0,12.0,9.0,12.0,12.0,12.0,8.0,6.0,8.0,7.0,6.0,79.0,80.0,79.0,77.0,72.0,63.0,55.0,52.0,46.0,40.0,1025.0,1022.0,1023.0,1027.0,1029.0,9.0,8.0,7.0,10.0,9.0,10.0,8.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,6.0,2.0,201.0,225.0,210.0,314.0,11.0,-0.11111111111111117,-0.3333333333333333,0.004765913201494738,0.044658198738520456
